7-EBAP-BBB-SB-IN-LIT,TRANSDUCTOR DE NIVEL SENSOR DE NIVEL,VFP,6-EBAP-BBB-SB-IN
7-EBAP-BBB-SB-IN-LSW,SISTEMA DE ELECTRODOS SISTEMA DE BOYAS/ELECTRODOS,VFP,6-EBAP-BBB-SB-IN
7-EBAP-BBB-SB-IN-PLC,CONTROLADOR PROGRAMABLE PLC,VFP,6-EBAP-BBB-SB-IN
7-EBAP-BBB-SB-IN-SWE,SWITCH ETHERNET,VFP,6-EBAP-BBB-SB-IN
6-EBAP-BBB-SB-MT,MEDIA TENSION,P,5-EBAP-BBB-SB
7-EBAP-BBB-SB-MT-TRF,None SISTEMA DE TRANSFORMACION PRINCIPAL,VFP,6-EBAP-BBB-SB-MT
6-EBAP-BBB-SB-SP,SISTEMA DE PROTECCION,P,5-EBAP-BBB-SB
7-EBAP-BBB-SB-SP-PRT,PUESTA A TIERRA SISTEMA DE PROTECCION,VFP,6-EBAP-BBB-SB-SP
6-EBAP-BBB-SB-TM,TELEMETRIA,P,5-EBAP-BBB-SB
7-EBAP-BBB-SB-TM-RD1,RADIO TRIO RADIO 1,VFP,6-EBAP-BBB-SB-TM
7-EBAP-BBB-SB-TM-RD2,RADIO MODEM DNP3 RADIO 2,VFP,6-EBAP-BBB-SB-TM
7-EBAP-BBB-SB-TM-UDC,SISTEMA DE RESPALDO DE ENERGIA UPS DC,VFP,6-EBAP-BBB-SB-TM
4-EBAP-BC1,ESTACION DE BOMBEO AAPP BOOSTER BOSQUES LA COSTA 20HP,P,-
5-EBAP-BC1-IF,INFRAESTRUCTURA,P,4-EBAP-BC1
6-EBAP-BC1-IF-ES,ESTRUCTURA,P,5-EBAP-BC1-IF
7-EBAP-BC1-IF-ES-INF,None ESTRUCTURAS DE LA ESTACION,VFP,6-EBAP-BC1-IF-ES
5-EBAP-BC1-SB,SISTEMA DE BOMBEO,P,4-EBAP-BC1
6-EBAP-BC1-SB-BM,BOMBEO,P,5-EBAP-BC1-SB
7-EBAP-BC1-SB-BM-GB1,SWITCH DE PRESION SUCCON GRUPO 1,VFP,6-EBAP-BC1-SB-BM
7-EBAP-BC1-SB-BM-GB2,BOMBA HORIZONTAL 2 GRUPO 2,VFP,6-EBAP-BC1-SB-BM
6-EBAP-BC1-SB-DI,SISTEMA DE DISTRIBUCION,P,5-EBAP-BC1-SB
7-EBAP-BC1-SB-DI-MPE,MEDIDOR DE PARAMETROS MEDIDOR DE PARAMETROS ELECTRICOS,VFP,6-EBAP-BC1-SB-DI
7-EBAP-BC1-SB-DI-PWP,TABLERO PRINCIPAL TABLERO DE FUERZA,VFP,6-EBAP-BC1-SB-DI
6-EBAP-BC1-SB-IL,SISTEMA DE ILUMINACION,P,5-EBAP-BC1-SB
7-EBAP-BC1-SB-IL-ILU,ILUMINACION INTERNA SISTEMA DE ILUMINACION,VFP,6-EBAP-BC1-SB-IL
6-EBAP-BC1-SB-IN,SISTEMA DE INSTRUMENTACION Y CONTROL,P,5-EBAP-BC1-SB
7-EBAP-BC1-SB-IN-RTU,RTU,VFP,6-EBAP-BC1-SB-IN
6-EBAP-BC1-SB-MT,MEDIA TENSION,P,5-EBAP-BC1-SB
7-EBAP-BC1-SB-MT-TRF,TRANSFORMADOR TRIFASICO SISTEMA DE TRANSFORMACION PRINCIPAL,VFP,6-EBAP-BC1-SB-MT
6-EBAP-BC1-SB-SP,SISTEMA DE PROTECCION,P,5-EBAP-BC1-SB
7-EBAP-BC1-SB-SP-PRT,PARRARAYOS SISTEMA DE PROTECCION,VFP,6-EBAP-BC1-SB-SP
6-EBAP-BC1-SB-TM,TELEMETRIA,P,5-EBAP-BC1-SB
7-EBAP-BC1-SB-TM-RDO,RADIO MODEM DNP3 RADIO,VFP,6-EBAP-BC1-SB-TM
7-EBAP-BC1-SB-TM-UDC,SISTEMA DE RESPALDO SCADA UPS DC,VFP,6-EBAP-BC1-SB-TM
4-EBAP-BC2,ESTACION DE BOMBEO AAPP BOOSTER BOSQUES LA COSTA 15-30HP,P,-
5-EBAP-BC2-IF,INFRAESTRUCTURA,P,4-EBAP-BC2
6-EBAP-BC2-IF-ES,ESTRUCTURA,P,5-EBAP-BC2-IF
7-EBAP-BC2-IF-ES-INF,None ESTRUCTURAS DE LA ESTACION,VFP,6-EBAP-BC2-IF-ES
5-EBAP-BC2-SB,SISTEMA DE BOMBEO,P,4-EBAP-BC2
6-EBAP-BC2-SB-BM,BOMBEO,P,5-EBAP-BC2-SB
7-EBAP-BC2-SB-BM-GB1,MOTOR 1 GRUPO 1,VFP,6-EBAP-BC2-SB-BM
7-EBAP-BC2-SB-BM-GB2,MOTOR 2 GRUPO 2,VFP,6-EBAP-BC2-SB-BM
7-EBAP-BC2-SB-BM-GB3,BOMBA GRUPO 3,VFP,6-EBAP-BC2-SB-BM
